iter	Passed	Remaining
154	339	1848
155	340	1839
156	341	1831
157	342	1822
158	343	1815
159	344	1808
160	345	1800
161	347	1796
162	348	1789
163	350	1784
164	351	1780
165	353	1774
166	354	1766
167	355	1759
168	356	1752
169	357	1745
170	358	1738
171	361	1740
172	362	1733
173	363	1726
174	365	1724
175	366	1717
176	367	1710
177	368	1703
178	370	1697
179	371	1690
180	372	1684
181	373	1678
182	376	1680
183	377	1674
184	379	1670
185	380	1663
186	381	1657
187	382	1650
188	383	1645
189	386	1648
190	387	1642
191	388	1635
192	391	1635
193	392	1630
194	394	1626
195	395	1621
196	396	1614
197	397	1609
198	398	1604
199	399	1599
200	400	1593
201	401	1587
202	402	1581
203	404	1576
204	407	1580
205	408	1575
206	409	1570
207	410	1564
208	412	1560
209	413	1555
210	414	1550
211	415	1544
212	416	1539
213	417	1534
214	422	1541
215	423	1538
216	426	1539
217	427	1534
218	429	1530
219	429	1524
220	431	1519
221	433	1518
222	434	1513
223	438	1517
224	441	1519
225	445	1526
226	447	1522
227	448	1518
228	449	1513
229	455	1524
230	456	1520
231	458	1516
232	459	1512
233	460	1508
234	464	1511
235	468	1516
236	470	1513
237	471	1509
238	473	1506
239	475	1504
240	476	1500
241	479	1502
242	481	1499
243	483	1499
244	486	1500
245	487	1495
246	488	1490
247	489	1485
248	491	1482
249	493	1479
250	495	1477
251	498	1479
252	499	1474
253	500	1470
254	501	1466
255	502	1461
256	505	1461
257	506	1457
258	509	1457
259	512	1458
260	513	1454
261	514	1450
262	516	1448
263	517	1443
264	521	1446
265	522	1442
266	523	1438
267	525	1434
268	526	1430
269	527	1426
270	528	1422
271	529	1418
272	530	1413
273	531	1409
274	533	1405
275	536	1406
276	537	1402
277	538	1399
278	540	1395
279	541	1391
280	542	1387
281	543	1383
282	544	1379
283	545	1374
284	546	1370
285	547	1367
286	549	1366
287	551	1363
288	552	1359
289	554	1356
290	556	1355
291	557	1351
292	558	1348
293	559	1344
294	560	1340
295	561	1336
296	562	1332
297	565	1332
298	567	1329
299	568	1326
300	569	1322
301	570	1318
302	571	1315
303	572	1311
304	573	1307
305	575	1304
306	576	1300
307	577	1296
308	578	1293
309	581	1294
310	582	1291
311	583	1287
312	584	1283
313	585	1280
314	587	1276
315	588	1273
316	589	1269
317	590	1266
318	591	1262
319	592	1259
320	593	1255
321	595	1253
322	596	1250
323	597	1247
324	599	1244
325	600	1242
326	601	1238
327	603	1236
328	605	1233
329	612	1243
330	614	1241
331	615	1239
332	617	1236
333	618	1233
334	619	1230
335	621	1227
336	622	1224
337	625	1224
338	626	1221
339	627	1218
340	628	1215
341	629	1211
342	630	1208
343	631	1204
344	632	1201
345	634	1198
346	635	1196
347	637	1193
348	638	1190
349	640	1190
350	641	1186
351	642	1183
352	643	1180
353	644	1176
354	645	1173
355	647	1171
356	648	1167
357	650	1165
358	651	1163
359	652	1160
360	655	1160
361	656	1157
362	658	1154
363	659	1151
364	660	1148
365	661	1145
366	662	1142
367	663	1140
368	665	1137
369	666	1134
370	667	1131
371	668	1128
372	671	1128
373	672	1126
374	673	1123
375	674	1120
376	676	1117
377	677	1114
378	678	1111
379	679	1108
380	680	1105
381	681	1102
382	683	1101
383	685	1099
384	686	1096
385	687	1093
386	688	1090
387	689	1087
388	691	1085
389	692	1083
390	693	1080
391	694	1077
392	695	1074
393	696	1071
394	700	1072
395	701	1070
396	703	1067
397	705	1066
398	706	1064
399	707	1061
400	708	1058
401	709	1055
402	710	1052
403	711	1050
404	713	1048
405	715	1046
406	716	1043
407	717	1040
408	719	1039
409	720	1036
410	721	1033
411	722	1030
412	723	1028
413	724	1025
414	725	1023
415	729	1024
416	731	1022
417	732	1020
418	733	1017
419	734	1014
420	735	1012
421	737	1009
422	738	1007
423	739	1004
424	740	1002
425	741	999
426	743	998
427	745	996
428	746	994
429	747	991
430	748	988
431	749	986
432	751	983
433	752	980
434	753	978
435	754	975
436	755	972
437	756	970
438	757	967
439	760	967
440	761	965
441	762	962
442	763	960
443	764	957
444	765	955
445	766	952
446	768	950
447	769	947
448	770	944
449	771	942
450	772	940
451	775	939
452	776	937
453	777	934
454	778	932
455	779	929
456	780	927
457	781	925
458	782	922
459	783	920
